slug,category,prompt,expected,s3url,numNodes,numLinks
agpoc-b10-hj328,B,The capital of Atlantis is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b10-hj328-1781093922117.json,1134,50470
agpoc-b11-hj328,B,The capital of the Moon is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b11-hj328-1781093957259.json,1179,46998
agpoc-b12-hj328,B,The capital of Narnia is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b12-hj328-1781093973301.json,1237,55121
agpoc-b13-hj328,B,The king of the United States is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b13-hj328-1781093989392.json,1108,43414
agpoc-b14-hj328,B,The fourth side of the triangle is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b14-hj328-1781094007992.json,1305,65447
agpoc-b15-hj328,B,The capital of the Pacific Ocean is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b15-hj328-1781094025209.json,1338,60182
agpoc-b16-hj328,B,The president of Antarctica is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b16-hj328-1781094042327.json,990,35067
agpoc-b17-hj328,B,The national language of Mars is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b17-hj328-1781094055083.json,1293,53332
agpoc-b18-hj328,B,The queen of Texas is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b18-hj328-1781094076085.json,1028,44205
agpoc-b19-hj328,B,The capital of the number seven is,,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-b19-hj328-1781094089893.json,1230,43403
agpoc-c21-hj328,C,Fact: The capital of the state containing Miami is,tallahassee,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c21-hj328-1781094164026.json,1489,59023
agpoc-c22-hj328,C,Fact: The capital of the state containing Chicago is,springfield,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c22-hj328-1781094184689.json,1576,66671
agpoc-c23-hj328,C,Fact: The capital of the state containing Seattle is,olympia,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c23-hj328-1781094203199.json,1485,53218
agpoc-c24-hj328,C,Fact: The capital of the state containing Philadelphia is,harrisburg,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c24-hj328-1781094220433.json,1544,63094
agpoc-c25-hj328,C,Fact: The capital of the state containing Los Angeles is,sacramento,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c25-hj328-1781094237876.json,1530,58972
agpoc-c26-hj328,C,Fact: The capital of the state containing Las Vegas is,carson,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c26-hj328-1781094255168.json,1617,66183
agpoc-c27-hj328,C,Fact: The capital of the state containing Memphis is,nashville,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c27-hj328-1781094273288.json,1554,65252
agpoc-c28-hj328,C,Fact: The capital of the state containing Detroit is,lansing,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c28-hj328-1781130626047.json,1484,53224
agpoc-c20-hj328,C,Fact: The capital of the state containing Dallas is,austin,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c20-hj328-1781094108538.json,1490,55645
agpoc-c29-hj328,C,Fact: The capital of the state containing Baltimore is,annapolis,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-c29-hj328-1781130700227.json,1523,64743
agpoc-d30-hj328,D,The opposite of hot is,cold,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d30-hj328-1781130732364.json,960,30922
agpoc-d31-hj328,D,The opposite of big is,small|little,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d31-hj328-1781130761065.json,921,27503
agpoc-d32-hj328,D,The opposite of up is,down,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d32-hj328-1781130790857.json,858,23964
agpoc-d33-hj328,D,The opposite of fast is,slow,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d33-hj328-1781130818991.json,959,32025
agpoc-d34-hj328,D,The opposite of dark is,light|bright,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d34-hj328-1781130848992.json,954,29444
agpoc-d35-hj328,D,The opposite of happy is,sad|unhappy,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d35-hj328-1781130876513.json,1088,51677
agpoc-d36-hj328,D,The opposite of old is,young|new,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d36-hj328-1781130905062.json,920,27688
agpoc-d37-hj328,D,The opposite of wet is,dry,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d37-hj328-1781130932973.json,957,25976
agpoc-d38-hj328,D,The opposite of hard is,soft|easy,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d38-hj328-1781130966629.json,912,25021
agpoc-d39-hj328,D,The opposite of tall is,short,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-d39-hj328-1781130993564.json,1064,40455
agpoc-f40-hj328,F,Fact: The capital of France is,paris,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f40-hj328-1781131023448.json,1374,58644
agpoc-f41-hj328,F,Fact: The capital of Japan is,tokyo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f41-hj328-1781131054308.json,1306,49983
agpoc-f42-hj328,F,Fact: The capital of Italy is,rome,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f42-hj328-1781131087201.json,1328,53343
agpoc-f43-hj328,F,Fact: The capital of Germany is,berlin,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f43-hj328-1781131118798.json,1351,58484
agpoc-f44-hj328,F,Fact: The capital of Spain is,madrid,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f44-hj328-1781131149742.json,1324,54960
agpoc-f45-hj328,F,Fact: The capital of Russia is,moscow,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f45-hj328-1781131183530.json,1362,56518
agpoc-f46-hj328,F,Fact: The capital of China is,beijing,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f46-hj328-1781131218149.json,1292,46970
agpoc-f47-hj328,F,Fact: The capital of Egypt is,cairo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f47-hj328-1781131250388.json,1333,49299
agpoc-f48-hj328,F,Fact: The capital of Canada is,ottawa,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f48-hj328-1781131281921.json,1246,45099
agpoc-f49-hj328,F,Fact: The capital of Australia is,canberra,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-f49-hj328-1781131312745.json,1281,46363
agpoc-e50-hj328,E,Two plus three equals,five|5,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e50-hj328-1781131345405.json,1126,55661
agpoc-e51-hj328,E,Four plus four equals,eight|8,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e51-hj328-1781131373490.json,1082,50587
agpoc-e52-hj328,E,Six plus one equals,seven|7,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e52-hj328-1781131403713.json,1045,42269
agpoc-e53-hj328,E,Five plus two equals,seven|7,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e53-hj328-1781131430997.json,1087,46573
agpoc-e54-hj328,E,Three plus three equals,six|6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e54-hj328-1781131461158.json,1092,51248
agpoc-e55-hj328,E,Nine plus one equals,ten|10,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e55-hj328-1781131489148.json,1149,55026
agpoc-e56-hj328,E,Seven plus two equals,nine|9,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e56-hj328-1781131520750.json,1144,56085
agpoc-e57-hj328,E,One plus five equals,six|6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e57-hj328-1781165992694.json,1080,46224
agpoc-e58-hj328,E,Eight plus two equals,ten|10,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e58-hj328-1781166026757.json,1110,52725
agpoc-e59-hj328,E,Four plus three equals,seven|7,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-e59-hj328-1781166056185.json,1062,46501
agpoc-g60-hj328,G,France's capital city is,paris,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-g60-hj328-1781166962638.json,1268,69151
agpoc-g61-hj328,G,Japan's capital city is,tokyo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-g61-hj328-1781166994598.json,1230,62377
agpoc-g62-hj328,G,Germany's capital city is,berlin,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-g62-hj328-1781167025198.json,1254,65476
agpoc-g63-hj328,G,Egypt's capital city is,cairo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-g63-hj328-1781167056207.json,1289,63929
agpoc-h64-hj328,H,The city that serves as the capital of France is,paris,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-h64-hj328-1781167089917.json,1440,73788
agpoc-h65-hj328,H,The city that serves as the capital of Japan is,tokyo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-h65-hj328-1781167124367.json,1415,70326
agpoc-h66-hj328,H,The city that serves as the capital of Germany is,berlin,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-h66-hj328-1781167156430.json,1448,74231
agpoc-h67-hj328,H,The city that serves as the capital of Egypt is,cairo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-h67-hj328-1781167198420.json,1441,68916
agpoc-k68-hj328,K,Fact: The capital of Burkina Faso is,ouagadougou,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k68-hj328-1781167727632.json,1483,71253
agpoc-k69-hj328,K,Fact: The capital of Kazakhstan is,astana|nur-sultan,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k69-hj328-1781167761859.json,1451,69039
agpoc-k70-hj328,K,Fact: The capital of Myanmar is,naypyidaw|nay,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k70-hj328-1781167794231.json,1401,60903
agpoc-k71-hj328,K,Fact: The capital of Bhutan is,thimphu,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k71-hj328-1781167826015.json,1426,65720
agpoc-k72-hj328,K,Fact: The capital of Mongolia is,ulaanbaatar|ulan,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k72-hj328-1781167860925.json,1406,60751
agpoc-k73-hj328,K,Fact: The capital of Madagascar is,antananarivo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k73-hj328-1781167893087.json,1432,66818
agpoc-k74-hj328,K,Fact: The capital of Uruguay is,montevideo,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k74-hj328-1781167924120.json,1343,53267
agpoc-k75-hj328,K,Fact: The capital of Cambodia is,phnom,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k75-hj328-1781167963418.json,1348,56938
agpoc-k76-hj328,K,Fact: The capital of Slovakia is,bratislava,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k76-hj328-1781167995125.json,1314,53606
agpoc-k77-hj328,K,Fact: The capital of Slovenia is,ljubljana,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k77-hj328-1781168025370.json,1373,60006
agpoc-k78-hj328,K,Fact: The capital of Latvia is,riga,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k78-hj328-1781168056868.json,1283,47693
agpoc-k79-hj328,K,Fact: The capital of Estonia is,tallinn,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-k79-hj328-1781168089207.json,1370,60838
agpoc-l80-hj328,L,Fact: The country whose capital is Ouagadougou is,burkina,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l80-hj328-1781168198174.json,1561,62002
agpoc-l81-hj328,L,Fact: The country whose capital is Astana is,kazakhstan,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l81-hj328-1781168241158.json,1593,62849
agpoc-l82-hj328,L,Fact: The country whose capital is Naypyidaw is,myanmar|burma,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l82-hj328-1781168273549.json,1700,60980
agpoc-l83-hj328,L,Fact: The country whose capital is Thimphu is,bhutan,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l83-hj328-1781168305555.json,1681,66095
agpoc-l84-hj328,L,Fact: The country whose capital is Ulaanbaatar is,mongolia,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l84-hj328-1781168339512.json,1606,61151
agpoc-l85-hj328,L,Fact: The country whose capital is Antananarivo is,madagascar,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l85-hj328-1781168382048.json,1691,70007
agpoc-l86-hj328,L,Fact: The country whose capital is Montevideo is,uruguay,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l86-hj328-1781168419524.json,1460,56223
agpoc-l87-hj328,L,Fact: The country whose capital is Phnom Penh is,cambodia,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l87-hj328-1781168459693.json,1459,52640
agpoc-l88-hj328,L,Fact: The country whose capital is Bratislava is,slovakia,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l88-hj328-1781170293598.json,1536,67850
agpoc-l89-hj328,L,Fact: The country whose capital is Ljubljana is,slovenia,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l89-hj328-1781170330834.json,1504,62344
agpoc-l90-hj328,L,Fact: The country whose capital is Riga is,latvia,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l90-hj328-1781170363701.json,1504,64401
agpoc-l91-hj328,L,Fact: The country whose capital is Tallinn is,estonia,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-l91-hj328-1781170395691.json,1485,61746
agpoc-m92-hj328,M,Fact: The number of letters in the word 'cat' is,3|three,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m92-hj328-1781252390393.json,1606,66195
agpoc-m93-hj328,M,Fact: The number of letters in the word 'sun' is,3|three,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m93-hj328-1781252423971.json,1601,69156
agpoc-m94-hj328,M,Fact: The number of letters in the word 'tree' is,4|four,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m94-hj328-1781252456936.json,1591,63836
agpoc-m95-hj328,M,Fact: The number of letters in the word 'book' is,4|four,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m95-hj328-1781252490925.json,1588,64688
agpoc-m96-hj328,M,Fact: The number of letters in the word 'house' is,5|five,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m96-hj328-1781252530868.json,1574,62090
agpoc-m97-hj328,M,Fact: The number of letters in the word 'water' is,5|five,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m97-hj328-1781252562754.json,1587,62549
agpoc-m98-hj328,M,Fact: The number of letters in the word 'banana' is,6|six,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m98-hj328-1781252596650.json,1614,67153
agpoc-m99-hj328,M,Fact: The number of letters in the word 'flower' is,6|six,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m99-hj328-1781252631517.json,1594,68543
agpoc-m100-hj328,M,Fact: The number of letters in the word 'kitchen' is,7|seven,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m100-hj328-1781252664382.json,1589,65303
agpoc-m101-hj328,M,Fact: The number of letters in the word 'morning' is,7|seven,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m101-hj328-1781252696886.json,1601,66570
agpoc-m102-hj328,M,Fact: The number of letters in the word 'computer' is,8|eight,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m102-hj328-1781252733792.json,1602,68753
agpoc-m103-hj328,M,Fact: The number of letters in the word 'mountain' is,8|eight,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-m103-hj328-1781252777834.json,1586,64017
agpoc-n104-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'sun' has ,3,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n104-hj328-1781254179044.json,1683,65003
agpoc-n105-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'tree' has ,4,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n105-hj328-1781254218038.json,1653,55346
agpoc-n106-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'book' has ,4,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n106-hj328-1781254253921.json,1700,60644
agpoc-n107-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'house' has ,5,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n107-hj328-1781254289904.json,1644,60237
agpoc-n108-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'water' has ,5,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n108-hj328-1781254326289.json,1682,66751
agpoc-n109-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'banana' has ,6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n109-hj328-1781254365172.json,1748,70939
agpoc-n110-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'flower' has ,6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n110-hj328-1781254402925.json,1681,64468
agpoc-n111-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'kitchen' has ,7,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n111-hj328-1781254439719.json,1676,67637
agpoc-n112-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'morning' has ,7,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n112-hj328-1781254478673.json,1678,69072
agpoc-n113-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'computer' has ,8,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n113-hj328-1781254516288.json,1678,69852
agpoc-n114-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'mountain' has ,8,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n114-hj328-1781254551960.json,1679,72007
agpoc-n115-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'elephant' has ,8,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n115-hj328-1781254588573.json,1674,70274
agpoc-n116-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'cat' has ,3,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n116-hj328-1781304130377.json,1689,61768
agpoc-n117-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'pen' has ,3,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n117-hj328-1781304167204.json,1652,53524
agpoc-n118-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'egg' has ,3,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n118-hj328-1781304206846.json,1706,59343
agpoc-n119-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'ice' has ,3,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n119-hj328-1781304242644.json,1670,59335
agpoc-n120-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'fish' has ,4,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n120-hj328-1781304288283.json,1666,61992
agpoc-n121-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'milk' has ,4,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n121-hj328-1781304324346.json,1687,63260
agpoc-n122-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'door' has ,4,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n122-hj328-1781304360515.json,1637,55459
agpoc-n123-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'rain' has ,4,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n123-hj328-1781304395896.json,1670,63693
agpoc-n124-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'bread' has ,5,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n124-hj328-1781304434159.json,1692,65252
agpoc-n125-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'chair' has ,5,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n125-hj328-1781304470085.json,1643,57608
agpoc-n126-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'table' has ,5,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n126-hj328-1781304505972.json,1671,60280
agpoc-n127-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'cloud' has ,5,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n127-hj328-1781304542410.json,1722,68835
agpoc-n128-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'garden' has ,6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n128-hj328-1781304581302.json,1666,65728
agpoc-n129-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'window' has ,6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n129-hj328-1781304617504.json,1693,66345
agpoc-n130-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'yellow' has ,6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n130-hj328-1781304653411.json,1706,66453
agpoc-n131-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'forest' has ,6,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n131-hj328-1781304689271.json,1656,66528
agpoc-n132-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'teacher' has ,7,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n132-hj328-1781304725840.json,1662,69528
agpoc-n133-hj328,N,The word 'dog' has 3 letters. The word 'apple' has 5 letters. The word 'bicycle' has ,7,https://neuronpedia-attrib.s3.us-east-1.amazonaws.com/user-graphs/anonymous/agpoc-n133-hj328-1781304762054.json,1671,69711
